WKT,SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
"POINT (-83.8881218759292 9.92041053809848)",TIERRA BLANCA DE CARTAGO,NACIENTE RODILLAL,"1096944","512268",59.905,Tierra Blanca,Cartago,Cartago,3,"301",-83.8881218759,9.9204105381
"POINT (-83.9165513489114 9.94066360555915)",LLANO GRANDE DE CARTAGO: SECTOR NACIENTE EMPALOO,NACIENTE EMPALAO,"1099183","509150",29.58666667,Llano Grande,Cartago,Cartago,2,"301",-83.9165513489,9.94066360556
"POINT (-83.8978624692139 9.94668935768645)",LLANO GRANDE DE CARTAGO: SECTOR NACIENTE PAVAS,NACIENTE PAVAS,"1099850","511199",19.285,Llano Grande,Cartago,Cartago,2,"301",-83.8978624692,9.94668935769
"POINT (-83.8349939058128 9.93429499803067)",SANTA ROSA DE OREAMUNO: SECTOR NACIENTE DE AGUA FRÍA,NACIENTE MANUEL GRANADOS,"1098482","518093",36.12058824,Pacayas,Alvarado,Cartago,2,"306",-83.8349939058,9.93429499803
"POINT (-83.8619188475758 9.94865662262277)",POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 1,"1100069","515140",26.30981818,Potrero Cerrado,Oreamuno,Cartago,2,"307",-83.8619188476,9.94865662262
"POINT (-83.8449373078591 9.88962383464912)",CIPRESES DE OREAMUNO,NACIENTE EDWIN COTO,"1093541","517005",25.69222222,Cipreses,Oreamuno,Cartago,2,"307",-83.8449373079,9.88962383465
"POINT (-83.8331146786033 9.93535196465353)",SANTA ROSA DE OREAMUNO,NACIENTE AGUA FRÍA,"1098599","518299",34.37142857,Pacayas,Alvarado,Cartago,2,"306",-83.8331146786,9.93535196465
"POINT (-83.8255795596606 9.90482279189116)","CIPRESES, ORATORIO Y CAPIRA DE OREAMUNO",NACIENTE PLANTÓN,"1095223","519127",27.64179487,Pacayas,Alvarado,Cartago,2,"306",-83.8255795597,9.90482279189
"POINT (-83.861767826846 9.93908122396038)",COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 2,"1099010","515157",27.38824176,Potrero Cerrado,Oreamuno,Cartago,2,"307",-83.8617678268,9.93908122396
"POINT (-83.861640127789 9.93912638055882)",COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 1,"1099015","515171",27.2840113,Potrero Cerrado,Oreamuno,Cartago,2,"307",-83.8616401278,9.93912638056
"POINT (-83.8445721537144 9.94854051017717)",SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE BENJAMIN HULET,"1100057","517042",25.17034483,Santa Rosa,Oreamuno,Cartago,2,"307",-83.8445721537,9.94854051018
"POINT (-83.8476464939202 9.94678780388443)",SANTA ROSA DE OREAMUNO: SECT.NACTES BIRRIS Y CARLOS MARTÍNEZ,NACIENTE CARLOS MARTÍNEZ,"1099863","516705",17.26761905,Santa Rosa,Oreamuno,Cartago,2,"307",-83.8476464939,9.94678780388
"POINT (-83.8557261896166 9.94864496722679)",POTRERO CERRADO DE OREAMUNO,Naciente los Quemados,"1100068","515819",17.96947368,Santa Rosa,Oreamuno,Cartago,2,"307",-83.8557261896,9.94864496723
"POINT (-83.847859456054 9.95958212688734)",POTRERO CERRADO DE OREAMUNO,NACIENTE POZO AMARILLO,"1101278","516681",9.110833333,Santa Rosa,Oreamuno,Cartago,1,"307",-83.8478594561,9.95958212689
"POINT (-83.846284880961 9.95256492780871)",SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE MIGUEL BRENES,"1100502","516854",11.96,Santa Rosa,Oreamuno,Cartago,2,"307",-83.846284881,9.95256492781
"POINT (-83.8366264550742 9.95246992991328)",SANTA ROSA DE OREAMUNO: SECTOR NAC. BIRRÍS Y CARLOS MARTÍNEZ,NACIENTE BIRRIS,"1100492","517913",8.884736842,Pacayas,Alvarado,Cartago,1,"306",-83.8366264551,9.95246992991
"POINT (-83.8367267880658 9.95245189521457)",SAN PABLO DE SANTA ROSA DE OREAMUNO: SECTOR NACIENTE BIRRIS1,NACIENTE BIRRIS 1,"1100490","517902",9.36,Pacayas,Alvarado,Cartago,1,"306",-83.8367267881,9.95245189521
